document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendixes/consistency_of_concurrent_operations.rst,Consistency of Concurrent Operations,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/access_requests/accessing_obs_using_temporary_access_keys.rst,Accessing OBS Using Temporary Access Keys,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/differences_between_obs_permissions_control_methods.rst,Differences Between OBS Permissions Control Methods,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_permissions_to_create_and_list_buckets.rst,Granting an IAM User the Permissions to Create and List Buckets,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_read_permissions_on_specific_objects.rst,Granting an IAM User the Read Permissions on Specific Objects,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_read_write_permission_on_a_bucket.rst,Granting an IAM User the Read/Write Permission on a Bucket,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_specific_permissions_on_specific_objects.rst,Granting an IAM User the Specific Permissions on Specific Objects,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_specified_permissions_for_a_bucket.rst,Granting an IAM User the Specified Permissions for a Bucket,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_anonymous_users/granting_anonymous_users_the_public_read_permission_for_a_bucket.rst,Granting Anonymous Users the Public Read Permission for a Bucket,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_anonymous_users/granting_anonymous_users_the_read_permission_for_a_directory.rst,Granting Anonymous Users the Read Permission for a Directory,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_anonymous_users/granting_anonymous_users_the_read_permission_for_certain_objects.rst,Granting Anonymous Users the Read Permission for Certain Objects,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_multiple_iam_users_or_user_groups_under_the_account/granting_iam_user_groups_all_permissions_on_all_obs_resources.rst,Granting IAM User Groups All Permissions on All OBS Resources,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_multiple_iam_users_or_user_groups_under_the_account/granting_iam_user_groups_specific_permissions_for_all_obs_resources.rst,Granting IAM User Groups Specific Permissions for All OBS Resources,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_multiple_iam_users_or_user_groups_under_the_account/granting_iam_user_groups_specific_permissions_on_a_folder.rst,Granting IAM User Groups Specific Permissions on a Folder,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_multiple_iam_users_or_user_groups_under_the_account/granting_iam_user_groups_specific_permissions_on_specific_obs_resources.rst,Granting IAM User Groups Specific Permissions on Specific OBS Resources,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_other_accounts/granting_iam_users_under_an_account_the_access_to_a_bucket_and_the_resources_in_it.rst,Granting IAM Users Under an Account the Access to a Bucket and the Resources in It,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_other_accounts/granting_other_accounts_specific_permissions_for_specific_objects.rst,Granting Other Accounts Specific Permissions for Specific Objects,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_other_accounts/granting_other_accounts_the_read_permission_for_certain_objects.rst,Granting Other Accounts the Read Permission for Certain Objects,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_other_accounts/granting_other_accounts_the_read_write_permission_for_a_bucket.rst,Granting Other Accounts the Read/Write Permission for a Bucket,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_other_accounts/granting_other_accounts_the_specified_permissions_for_a_bucket.rst,Granting Other Accounts the Specified Permissions for a Bucket,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_temporary_access_to_obs.rst,Granting Temporary Access to OBS,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/restricting_access_to_a_bucket_for_specific_ip_addresses.rst,Restricting Access to a Bucket for Specific IP Addresses,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/typical_permissions_scenarios.rst,Typical Permissions Scenarios,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_control_methods/iam_permissions.rst,IAM Permissions,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/s3api/source/introduction/concurrent_operation_consistency.rst,Concurrent Operation Consistency,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/s3api/source/obs_rest_apis/authenticating_a_request/v4_browser-based_authorized_post_request.rst,V4 Browser-based Authorized POST Request,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/s3api/source/obs_rest_apis/authenticating_a_request/v4_common_request.rst,V4 Common Request,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/s3api/source/obs_rest_apis/authenticating_a_request/v4_temporarily_authorized_request.rst,V4 Temporarily Authorized Request,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/swiftapi/source/overview/concurrent_operation_consistency.rst,Concurrent Operation Consistency,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/advanced_bucket_settings/bucket_acls/configuring_a_bucket_acl.rst,Configuring a Bucket ACL,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/advanced_bucket_settings/bucket_policies/configuring_a_bucket_policy.rst,Configuring a Bucket Policy,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/advanced_bucket_settings/external_bucket_adding/adding_an_external_bucket.rst,Adding an External Bucket,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/basic_bucket_operations/creating_a_bucket.rst,Creating a Bucket,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/basic_bucket_operations/managing_fragments.rst,Managing Fragments,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/basic_bucket_operations/searching_for_a_bucket.rst,Searching for a Bucket,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/basic_bucket_operations/viewing_a_buckets_basic_information.rst,Viewing a Bucket's Basic Information,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/best_practices/proxy_server_configuration.rst,Proxy Server Configuration,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/logging_in_to_obs_browser.rst,Logging In to OBS Browser+,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/object_operations/creating_a_folder.rst,Creating a Folder,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/object_operations/restoring_a_file_or_folder.rst,Restoring a File or Folder,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/object_operations/searching_for_a_file_or_folder.rst,Searching for a File or Folder,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/object_operations/sharing_a_file_or_folder.rst,Sharing a File or Folder,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/object_operations/uploading_a_file_or_folder.rst,Uploading a File or Folder,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/task_management/managing_completed_tasks.rst,Managing Completed Tasks,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/task_management/managing_failed_tasks.rst,Managing Failed Tasks,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/task_management/managing_running_and_queued_tasks.rst,Managing Running and Queued Tasks,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/task_management/managing_suspended_tasks.rst,Managing Suspended Tasks,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/tool/source/task_management/managing_tasks_being_restored.rst,Managing Tasks Being Restored,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/obs_browser_operation_guide/cors/configuring_cors.rst,Configuring CORS,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/external_buckets/adding_external_buckets.rst,Adding External Buckets,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/getting_started/adding_a_bucket.rst,Adding a Bucket,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/getting_started/configuring_user_permissions.rst,Configuring User Permissions,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/getting_started/downloading_obs_browser.rst,Downloading OBS Browser,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/getting_started/process_description.rst,Process Description,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/getting_started/uploading_a_file_or_folder.rst,Uploading a File or Folder,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/introduction_to_obs_browser/obs_browser_overview.rst,OBS Browser Overview,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/lifecycle_management/configuring_a_lifecycle_rule.rst,Configuring a Lifecycle Rule,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/lifecycle_management/lifecycle_management_overview.rst,Lifecycle Management Overview,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/logging/configuring_logging.rst,Configuring Logging,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/managing_buckets/adding_a_bucket.rst,Adding a Bucket,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/managing_buckets/bucket_management_methods.rst,Bucket Management Methods,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/managing_buckets/managing_fragments.rst,Managing Fragments,,,,,,,,,,,,,,,fail,backend_error,403,,2,,
umn/source/obs_browser_operation_guide/managing_buckets/searching_for_a_bucket.rst,Searching for a Bucket,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/managing_buckets/viewing_basic_information_of_a_bucket.rst,Viewing Basic Information of a Bucket,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/managing_objects/accessing_an_object_using_its_object_url.rst,Accessing an Object Using Its Object URL,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/managing_objects/object_management_methods.rst,Object Management Methods,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/managing_objects/restoring_a_cold_file_in_obs.rst,Restoring a Cold File in OBS,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/managing_objects/searching_for_a_file_or_folder.rst,Searching for a File or Folder,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/obs_browser_operation_guide/managing_objects/uploading_a_file_or_folder.rst,Uploading a File or Folder,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
