document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_project_id.rst,Obtaining Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_the_cluster_id.rst,Obtaining the Cluster ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/dev-guide/source/creating_and_managing_gaussdbdws_database_objects/creating_and_managing_gaussdbdws_tables.rst,Creating and Managing GaussDB(DWS) Tables,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/dev-guide/source/creating_and_managing_gaussdbdws_database_objects/selecting_a_gaussdbdws_table_storage_model.rst,Selecting a GaussDB(DWS) Table Storage Model,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/dev-guide/source/gaussdbdws_data_query/data_reading_writing_across_logical_clusters.rst,Data Reading/Writing Across Logical Clusters,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/dev-guide/source/gaussdbdws_data_query/gaussdbdws_subquery_expressions.rst,GaussDB(DWS) Subquery Expressions,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/dev-guide/source/gaussdbdws_data_query/gaussdbdws_with_expressions.rst,GaussDB(DWS) WITH Expressions,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/dev-guide/source/gaussdbdws_data_query/sql_on_hudi/introduction_to_hudi.rst,Introduction to Hudi,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/dev-guide/source/gaussdbdws_data_query/usage_of_gaussdbdws_union.rst,Usage of GaussDB(DWS) UNION,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
