document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendixes/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/getting_started_with_geminidb_cassandra/connecting_to_a_geminidb_cassandra_instance_over_private_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_geminidb_cassandra/connecting_to_a_geminidb_cassandra_instance_over_public_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_geminidb_cassandra/creating_a_geminidb_cassandra_instance.rst,Creating a GeminiDB Cassandra Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/logging_in_to_the_geminidb_console.rst,Logging In to the GeminiDB Console,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_geminidb_cassandra_api/auditing/querying_traces.rst,Querying Traces,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_geminidb_cassandra_api/backups_and_restorations/managing_automated_backups.rst,Managing Automated Backups,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_geminidb_cassandra_api/backups_and_restorations/restoring_a_backup_to_a_specified_point_in_time.rst,Restoring a Backup to a Specified Point in Time,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_geminidb_cassandra_api/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_geminidb_cassandra_api/db_instance_management/configuring_autoscaling.rst,Configuring Autoscaling,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_geminidb_cassandra_api/monitoring_and_alarm_reporting/viewing_metrics.rst,Viewing Metrics,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_geminidb_cassandra_api/parameter_template_management/modifying_a_parameter_template_description.rst,Modifying a Parameter Template Description,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
