document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/as_management/as_configuration/copying_an_as_configuration.rst,Copying an AS Configuration,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/as_configuration/creating_an_as_configuration_from_an_existing_ecs.rst,Creating an AS Configuration from an Existing ECS,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/as_group/changing_the_as_configuration_for_an_as_group.rst,Changing the AS Configuration for an AS Group,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0282829283.png,figure,23,screenshot,True,False,True,"Interactive buttons ('Copy', 'Delete') are blue, not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image displays a table of AS configurations, directly matching the document's topic. | It shows 'as-config-A' and 'as-config-B', which are explicitly mentioned in the text.",None.
umn/source/as_management/as_group/modifying_an_as_group.rst,Modifying an AS Group,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/as_management/as_group_and_instance_monitoring/adding_tags_to_as_groups_and_instances.rst,Adding Tags to AS Groups and Instances,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/as_group_and_instance_monitoring/querying_real-time_traces.rst,Querying Real-Time Traces,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/as_group_and_instance_monitoring/setting_monitoring_alarm_rules.rst,Setting Monitoring Alarm Rules,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/as_group_and_instance_monitoring/viewing_monitoring_metrics.rst,Viewing Monitoring Metrics,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/as_policy/creating_an_as_policy.rst,Creating an AS Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/as_policy/managing_as_policies.rst,Managing AS Policies,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/bandwidth_scaling/creating_a_bandwidth_scaling_policy.rst,Creating a Bandwidth Scaling Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/bandwidth_scaling/managing_a_bandwidth_scaling_policy.rst,Managing a Bandwidth Scaling Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/bandwidth_scaling/viewing_details_about_a_bandwidth_scaling_policy.rst,Viewing Details About a Bandwidth Scaling Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/permissions_management/creating_a_user_and_granting_as_permissions.rst,Creating a User and Granting AS Permissions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/scaling_action/configuring_instance_protection.rst,Configuring Instance Protection,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/scaling_action/managing_lifecycle_hooks.rst,Managing Lifecycle Hooks,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/as_management/scaling_action/viewing_a_scaling_action.rst,Viewing a Scaling Action,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/best_practices/setting_up_an_automatically_scalable_discuz_forum.rst,Setting Up an Automatically Scalable Discuz! Forum,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/general/what_is_an_as_quota.rst,What Is an AS Quota?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quick_start/creating_an_as_group_quickly.rst,Creating an AS Group Quickly,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quick_start/wizard-based_process_of_using_as.rst,Wizard-based Process of Using AS,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/as_advantages.rst,AS Advantages,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/as_and_other_services.rst,AS and Other Services,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/instance_lifecycle.rst,Instance Lifecycle,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/what_is_auto_scaling.rst,What Is Auto Scaling?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
