document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/idp_initiated.rst,IdP Initiated,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/sp_initiated.rst,SP Initiated,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_manage_access_keys.rst,How Do I Manage Access Keys?,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_modify_my_credential_information.rst,How Do I Modify My Credential Information?,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_query_a_project_id.rst,How Do I Query a Project ID?,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_view_my_credential_information.rst,How Do I View My Credential Information?,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions/source/permissions.rst,Permissions,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faqs/how_do_i_bind_a_virtual_mfa_device.rst,How Do I Bind a Virtual MFA Device?,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000002525746603.png,figure,29,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,Shows the Security Settings page with the Critical Operations tab selected. | Clearly displays the 'Bind' button in the Virtual MFA Device row as instructed in step 2.,
